year,state,variable,max_bin_pp
2019,WV,age_bin,1.6
2019,WV,gender,1.5
2019,WV,occ_silo,2.5
2019,WV,race4,2.6
2020,MD,hhSize,0.9
2020,MD,autos,2.3
2020,MD,dwellingType,1.0
2020,MD,hh_inc9,0.4
2020,MD,age_bin,1.9
2020,MD,gender,0.2
2020,MD,occ_silo,2.6
2020,MD,race4,0.8
2020,VA,hhSize,1.3
2020,VA,autos,2.8
2020,VA,dwellingType,0.5
2020,VA,hh_inc9,1.5
2020,VA,age_bin,2.2
2020,VA,gender,0.8
2020,VA,occ_silo,2.5
2020,VA,race4,1.1
2020,PA,hhSize,1.1
2020,PA,autos,3.0
2020,PA,dwellingType,1.9
2020,PA,hh_inc9,2.3
2020,PA,age_bin,1.9
2020,PA,gender,1.0
2020,PA,occ_silo,1.8
2020,PA,race4,1.6
2020,DE,hhSize,0.8
2020,DE,autos,3.9
2020,DE,dwellingType,0.8
2020,DE,hh_inc9,0.8
2020,DE,age_bin,2.0
2020,DE,gender,0.2
2020,DE,occ_silo,1.7
2020,DE,race4,0.9
2020,DC,hhSize,1.1
2020,DC,autos,0.7
2020,DC,dwellingType,1.8
2020,DC,hh_inc9,1.6
2020,DC,age_bin,6.8
2020,DC,gender,0.3
2020,DC,occ_silo,2.6
2020,DC,race4,1.4
2020,WV,hhSize,1.5
2020,WV,autos,4.7
2020,WV,dwellingType,6.0
2020,WV,hh_inc9,2.5
2020,WV,age_bin,1.6
2020,WV,gender,1.6
2020,WV,occ_silo,2.8
2020,WV,race4,2.4
2021,MD,hhSize,1.0
2021,MD,autos,2.6
2021,MD,dwellingType,1.5
2021,MD,hh_inc9,0.5
2021,MD,age_bin,1.6
2021,MD,gender,0.4
2021,MD,occ_silo,2.4
2021,MD,race4,1.1
2021,VA,hhSize,1.3
2021,VA,autos,2.6
2021,VA,dwellingType,0.5
2021,VA,hh_inc9,2.2
2021,VA,age_bin,2.0
2021,VA,gender,1.0
2021,VA,occ_silo,2.5
2021,VA,race4,1.1
2021,PA,hhSize,1.3
2021,PA,autos,3.1
2021,PA,dwellingType,2.1
2021,PA,hh_inc9,2.4
2021,PA,age_bin,1.8
2021,PA,gender,1.4
2021,PA,occ_silo,1.7
2021,PA,race4,1.6
2021,DE,hhSize,1.1
2021,DE,autos,3.6
2021,DE,dwellingType,0.7
2021,DE,hh_inc9,1.0
2021,DE,age_bin,1.6
2021,DE,gender,0.5
2021,DE,occ_silo,1.8
2021,DE,race4,1.2
2021,DC,hhSize,1.0
2021,DC,autos,1.2
2021,DC,dwellingType,1.9
2021,DC,hh_inc9,1.7
2021,DC,age_bin,6.6
2021,DC,gender,0.2
2021,DC,occ_silo,3.2
2021,DC,race4,1.5
2021,WV,hhSize,1.5
2021,WV,autos,6.1
2021,WV,dwellingType,6.2
2021,WV,hh_inc9,2.3
2021,WV,age_bin,1.9
2021,WV,gender,1.9
2021,WV,occ_silo,3.0
